"CO_NBM";"NO_NBM"
"0805400000";"POMELOS (""GRAPEFRUIT""),FRESCAS OU SECAS"
"0808200200";"MARMELOS FRESCOS"
"0812209900";"OUTS.MORANGOS CONSERVADOS DE OUTRO MODO,EXC.EM POLPAS"
"0812900199";"QQ.OUT.FRUTA EM POLPAS,CONSERVADA DE OUT.MODO"
"0812909900";"OUTS.FRUTAS CONSERVADAS DE OUTRO MODO,EXC.EM POLPAS"
"0813500200";"MISTURA DE COCO C/CASCA/PASSAS DE UVA/AMEIXAS SECAS"
"0901110100";"CAFE N/TORRADO,N/DESCAFEINADO,EM GRAO"
"0901210200";"CAFE TORRADO,NAO DESCAFEINADO,MOIDO"
"0901220000";"CAFE TORRADO,DESCAFEINADO"
"0901400000";"SUCEDANEOS DO CAFE"
"0905000000";"BAUNILHA"
"0906100000";"CANELA/FLOR DE CANELEIRA,N/TRITURADA/NEM PO"
"0907000200";"CRAVO DA INDIA (FRUTOS/FLORES/ETC),TRITURADO/EM PO"
"0909200000";"SEMENTES DE COENTRO"
"0999999900";"CAFE CRU - IBC/PRELIMINAR"
"1006300100";"ARROZ SEMIBRANQUEADO,MESMO POLIDO/ETC.PARBOILIZADO"
"1008200000";"PAINCO"
"1008900000";"OUTS.CEREAIS"
"1104230100";"MILHO EM GRAOS,DESCASCADOS"
"1105100000";"FARINHA E SEMOLAS,DE BATATA"
"1107200100";"MALTE INTEIRO OU PARTIDO,TORRADO"
"2828900400";"CLORITO DE SODIO"
"2819100000";"TRIOXIDO DE CROMO"
"2825400200";"HIDROXIDO NIQUELOSO"
"2825409900";"OUTS.OXIDOS E HIDROXIDOS DE NIQUEL"
"2825700100";"TRIOXIDO DE MOLIBDENIO (ANIDRIDO MOLIBDICO)"
"2826900102";"FLUORBORATO DE CROMO"
"2826900204";"FLUOSSILICATO DE ZINCO"
"2826900299";"QQ.OUT.FLUOSSILICATO,EXC.DE AMONIO/BARIO/CALCIO/COBRE/"
"2827320000";"CLORETO DE ALUMINIO"
"2827370100";"CLORETO ESTANHOSO (DICLORETO DE ESTANHO)"
"2827390101";"TRICLORETO DE ANTIMONIO"
"2827600110";"IODETO DE MERCURIO"
"2933904900";"TRIADIMENOL"
"2933906400";"CLONITAZENO"
"2933906500";"ETONITAZENO"
"2933907200";"IMINODIBENZILA [10,11-DIHIDRO-5H-DIBENZO (B,F)-AZEPINA]"
"2934109900";"OUTS.COMPOSTOS HETEROCICL.C/1 CICLO TIAZOL N/CONDENSADO"
"2934901800";"3-AMINO-5-METILISOXAZOL"
"2934902400";"ACIDO 7-AMINOCEFALOSPORANICO"
"2934902800";"NIMORAZOL"
"2934903400";"BENZAFUROXANO"
"2934903800";"DIFENILAMINACLOROARSINA"
"2934904900";"MORFERIDINA"
"2934909900";"OUTS.COMPOSTOS HETEROCICLICOS"
"2935000200";"CLOROSSULFONAMIDAS (CLORAMINAS)"
"2935000300";"FTALILSULFATIAZOL E SEUS SAIS"
"2935001000";"O- OU P-TOLUENOSSULFONAMIDAS"
"2935001300";"ACETAZOLAMIDA E SEUS SAIS"
"2935002500";"GLICLAZIDA"
"2935002700";"PALMITATO DE PIPOTIAZINA"
"2936220200";"MONONITRATO DE TIAMINA"
"2936239900";"OUTS.DERIVS.DE VITAMINA B2"
"4104100303";"COURO INT.BOVINO,S<=2.6M2,CURT.CROMO,FLOR INTEGR.S/ACAB"
"4104299900";"OUTS.COUROS/PELES,EQUINO,CURTIDOS/RECURTIDOS"
"4104310201";"COURO/PELE BOVINO,CURT.VEGET.C/FLOR,S/ACABAM.P/SOLAS"
"4106190100";"PELES DEPILADAS,DE CAPRINO,CURTIDAS AO CROMO,UMIDAS"
"4107100100";"PELES DEPILADAS,DE SUINO,CURTIDAS AO CROMO,UMIDAS"
"4107210000";"PELES DEPILADAS,DE REPTEIS,C/PRE-CURTIMENTA VEGETAL"
"4107900100";"PELES DEPILADAS,DE RENA/ALCE/VEADO/ETC.PREPARADAS"
"4107909900";"PELES DEPILADAS,DE OUTS.ANIMAIS,PREPARADAS"
"4109000200";"COURO/PELE,METALIZADO"
"4202120201";"MALAS/MALETAS/ETC.C/SUPERF.EXTER.DE TECIDO DE MALHA"
"2829900204";"IODATO DE SODIO"
"2829900205";"IODATO DE ESTRONCIO"
"2830909900";"OUTS.SULFETOS E POLISSULFETOS"
"2833210000";"SULFATO DE MAGNESIO"
"2833250100";"SULFATO CUPROSO"
"2834100100";"NITRITO DE SODIO"
"2834219900";"OUTS.NITRATOS DE POTASSIO"
"2835220100";"FOSFATO MONOSSODICO (DIDROGENO-ORTOFOSFATO DE SODIO)"
"2835290100";"FOSFATO DE COBALTO"
"2835290300";"FOSFATO DE CROMO"
"2835390200";"METAFOSFATO DE SODIO"
"2836209900";"OUTS.CARBONATOS DISSODICOS"
"2836300000";"HIDROGENOCARBONATO (BICARBONATO) DE SODIO"
"2936249900";"OUTS.ACIDOS DE DL-PANTOTENICO (VITAMINA B3/B5) E DERIVS"
"2936270200";"ASCORBATO DE SODIO"
"2936290102";"ACIDO FOLINICO E SEUS SAIS"
"2937100500";"TIROTROFINA E SEUS SAIS"
"2937109900";"OUTS.HORMONIOS DO LOBO ANTERIOR DA HIPOFISE/SEMELHS/ETC"
"2937210100";"CORTISONA"
"2937220400";"ACETONIDO DE TRIANCINOLONA"
"2937220603";"21-SUCCINATO SODICO DE HIDROCORTISONA."
"2937220699";"QQ.OUT.ESTER E SAIS DE HIDROCORTISONA"
"2937290203";"21-FOSFATO DISSODICO DE DEXAMETASONA."
"2937290600";"ACETONIDO DE FLUOCINOLONA."
"2937290702";"21-PIVALATO DE FLUORCORTOLONA."
"2937920100";"PROGESTERONA,SEUS ESTERES E SEUS SAIS"
"2937920501";"VALERATO DE ESTRADIOL"
"2937921200";"ACETATO DE NORETISTERONA"
"2937990202";"VASOPRESSINA E SEUS SAIS"
"4202990100";"OUTS.ESTOJOS/ARTEFS.BOLSO,C/SUPERF.EXTER.DE FIBRA VULC."
